id,state_name,district_name,season,crop,area,production
1,Maharashtra,SOLAPUR,Rabi       ,Jowar,622800,354100
2,Andhra Pradesh,ANANTAPUR,Kharif     ,Groundnut,550794,148714
3,West Bengal,MEDINIPUR WEST,Winter     ,Rice,496134,1348329
4,Maharashtra,JALGAON,Kharif     ,Cotton(lint),471100,768100
5,Maharashtra,AHMEDNAGAR,Rabi       ,Jowar,443600,279800
6,Maharashtra,AURANGABAD,Kharif     ,Cotton(lint),422600,244300
7,Maharashtra,YAVATMAL,Kharif     ,Cotton(lint),421000,287400
8,West Bengal,BARDHAMAN,Winter     ,Rice,419814,1361138
9,Andhra Pradesh,WEST GODAVARI,Whole Year ,Rice,409286,1624324
10,Andhra Pradesh,EAST GODAVARI,Whole Year ,Rice,394117,1563229
11,Maharashtra,BEED,Kharif     ,Cotton(lint),373300,167600
12,Maharashtra,AMRAVATI,Kharif     ,Soyabean,370600,128300
13,Maharashtra,BULDHANA,Kharif     ,Soyabean,352500,189100
14,Maharashtra,NANDED,Kharif     ,Cotton(lint),342300,176800
15,Maharashtra,LATUR,Kharif     ,Soyabean,336800,210000
16,Uttar Pradesh,HARDOI,Rabi       ,Wheat,326194,719258
17,West Bengal,24 PARAGANAS SOUTH,Winter     ,Rice,325501,794541
18,West Bengal,BIRBHUM,Winter     ,Rice,315561,1029374
19,Karnataka,GULBARGA,Kharif     ,Arhar/Tur,315343,210003
20,Telangana ,NALGONDA,Kharif     ,Cotton(lint),307792,505141
21,Andhra Pradesh,KURNOOL,Kharif     ,Cotton(lint),306058,809620
22,Maharashtra,YAVATMAL,Kharif     ,Soyabean,306000,97600
23,Telangana ,ADILABAD,Kharif     ,Cotton(lint),304424,573033
24,Maharashtra,WASHIM,Kharif     ,Soyabean,296500,121300
25,West Bengal,BANKURA,Winter     ,Rice,294204,794716
26,Maharashtra,JALNA,Kharif     ,Cotton(lint),294200,159100
27,Andhra Pradesh,KRISHNA,Whole Year ,Rice,288042,998795
28,Chhattisgarh,RAJNANDGAON,Kharif     ,Rice,287194,480285
29,Andhra Pradesh,GUNTUR,Whole Year ,Rice,285302,1111932
30,Punjab,SANGRUR,Rabi       ,Wheat,284000,1366000
31,West Bengal,PURULIA,Winter     ,Rice,279151,597899
32,Odisha,MAYURBHANJ,Winter     ,Rice,276000,623000
33,Maharashtra,PARBHANI,Kharif     ,Cotton(lint),273500,204800
34,Chhattisgarh,MAHASAMUND,Kharif     ,Rice,272551,510063
35,Punjab,SANGRUR,Kharif     ,Rice,271000,1281000
36,Uttar Pradesh,KHERI,Kharif     ,Sugarcane,268653,17757963
37,Maharashtra,PUNE,Rabi       ,Jowar,268300,131700
38,Odisha,GANJAM,Winter     ,Rice,264000,715000
39,Uttar Pradesh,SHAHJAHANPUR,Rabi       ,Wheat,260462,517017
40,Punjab,LUDHIANA,Kharif     ,Rice,257000,1119000
41,Andhra Pradesh,GUNTUR,Kharif     ,Rice,255607,1000190
42,Uttar Pradesh,BUDAUN,Rabi       ,Wheat,255586,538009
43,West Bengal,MEDINIPUR EAST,Winter     ,Rice,254064,546260
44,Punjab,BATHINDA,Rabi       ,Wheat,254000,1218000
45,Chhattisgarh,JANJGIR-CHAMPA,Kharif     ,Rice,253667,802349
46,Punjab,LUDHIANA,Rabi       ,Wheat,253000,1129000
47,Maharashtra,BEED,Rabi       ,Jowar,250400,134800
48,Uttar Pradesh,AZAMGARH,Rabi       ,Wheat,243897,516574
49,Uttar Pradesh,UNNAO,Rabi       ,Wheat,243188,488078
50,Andhra Pradesh,SPSR NELLORE,Whole Year ,Rice,240723,969015
51,Chhattisgarh,BALODA BAZAR,Kharif     ,Rice,238360,383684
52,Telangana ,MAHBUBNAGAR,Kharif     ,Cotton(lint),237683,464509
53,Karnataka,GULBARGA,Rabi       ,Jowar,237624,271569
54,Andhra Pradesh,KRISHNA,Kharif     ,Rice,235212,788901
55,Maharashtra,AKOLA,Kharif     ,Soyabean,233100,69600
56,Punjab,PATIALA,Rabi       ,Wheat,233000,1024000
57,Andhra Pradesh,WEST GODAVARI,Kharif     ,Rice,231475,733313
58,Punjab,PATIALA,Kharif     ,Rice,230000,904000
59,Chhattisgarh,RAIGARH,Kharif     ,Rice,228200,367385
60,Telangana ,WARANGAL,Kharif     ,Cotton(lint),228057,607705
61,Chhattisgarh,BILASPUR,Kharif     ,Rice,227579,456491
62,Andhra Pradesh,EAST GODAVARI,Kharif     ,Rice,226072,681833
63,Uttar Pradesh,ALIGARH,Rabi       ,Wheat,223267,546558
64,West Bengal,MURSHIDABAD,Winter     ,Rice,222718,686341
65,Maharashtra,NAGPUR,Kharif     ,Soyabean,220400,79500
66,Maharashtra,NANDED,Kharif     ,Soyabean,218900,64500
67,Uttarakhand,UDAM SINGH NAGAR,Whole Year ,Total foodgrain,217299,669556
68,West Bengal,COOCHBEHAR,Winter     ,Rice,217046,515777
69,Maharashtra,OSMANABAD,Rabi       ,Jowar,215900,74500
70,Telangana ,KARIMNAGAR,Kharif     ,Cotton(lint),214586,585694
71,Uttar Pradesh,ALLAHABAD,Rabi       ,Wheat,213258,290829
72,Odisha,DEOGARH,Winter     ,Rice,29000,101000
73,Uttar Pradesh,BAREILLY,Rabi       ,Wheat,212598,395007
74,Uttar Pradesh,BIJNOR,Kharif     ,Sugarcane,212471,13968693
75,Andhra Pradesh,SRIKAKULAM,Whole Year ,Rice,210215,447672
